;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;"Всего обу-чающихся (сумма граф 4,10; сумма граф 16-18)";Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Всего;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) лица с огра- ниченными возможностя- ми здоровья;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) из них (из гр. 5): инвалиды;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) из них (из гр. 5): дети-инвалиды;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) инвалиды  (кроме учтенных в гр. 6);Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) дети-инвали- ды (кроме учтенных в гр. 7);Классы для обучающихся с ограниченными возможностями здоровья Всего;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) лица с огра- ниченными возможностя- ми здоровья;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) из них (из гр. 11): инвалиды;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) из них (из гр. 11): дети-инвалиды;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) инвалиды  (кроме учтенных в гр. 12);Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) дети-инвали- ды (кроме учтенных в  гр. 13);В том числе обучающихся (из гр.3) очно;В том числе обучающихся (из гр.3) очно-заочно;В том числе обучающихся (из гр.3) заочно
1;Численность обучающихся – всего;283349;278455;13561;18;2803;8;2154;4894;4788;144;1757;;72;281993;1160;196
2;из них обучаются:       по программам, реализуемым с использованием сетевой формы;2288;2236;96;;10;;8;52;52;;9;;;2288;;
3;с применением электронного обучения;8461;8228;155;;26;;38;233;233;;107;;;8460;1;
4;с применением дистанционных образовательных технологий;13617;13569;402;1;178;1;106;48;48;;2;;;13455;162;
5;по индивидуальным учебным планам;2702;2669;2403;2;479;;99;33;33;;24;;;2683;17;2
6;на дому;4062;3872;3052;10;2109;2;308;190;185;14;151;;1;3868;179;15
7;в медицинской организации;166;166;105;;;;;;;;;;;166;;
8;из суммы строк 06 и 07:             с применением дистанционных образовательных технологий             (из строки 04);218;218;163;1;152;1;42;;;;;;;56;162;
9;по индивидуальным учебным планам (из строки 05);443;432;406;1;183;;17;11;11;;11;;;443;;
