;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;1043
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;1014
3;Коллегиальные органы управления;998
4;в том числе:       общее собрание;784
5;педагогический совет;968
6;попечительский совет;128
7;управляющий совет;685
8;наблюдательный совет;43
9;другие;194
10;Советы обучающихся;733
11;Советы родителей;720
12;Профессиональные союзы работников;775
13;из строки 03 с участием общественности (родителей, работодателей);725
14;Организация реализует профориентационный минимум;744
15;в том числе:       на базовом уровне;512
16;на основном уровне;204
17;на продвинутом уровне;49
