;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;512
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;502
3;Коллегиальные органы управления;486
4;в том числе:       общее собрание;430
5;педагогический совет;481
6;попечительский совет;58
7;управляющий совет;138
8;наблюдательный совет;13
9;другие;114
10;Советы обучающихся;453
11;Советы родителей;446
12;Профессиональные союзы работников;465
13;из строки 03 с участием общественности (родителей, работодателей);349
14;Организация реализует профориентационный минимум;454
15;в том числе:       на базовом уровне;100
16;на основном уровне;169
17;на продвинутом уровне;200
