;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;1256;92;122;121;142;137;165;153;158;141;16;9;;;;;;;;
2;В них обучающихся (всего), чел.;19429;1401;2040;1923;2204;2144;2608;2391;2295;2033;215;175;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;13;;1;3;1;2;2;;1;2;1;;;;;3;;13;;
4;слабослышащие;20;;1;2;2;3;;2;3;5;2;;;;;14;;20;;
5;позднооглохшие;1;;;;;;1;;;;;;;;;;;1;;
6;слепые;1;;;;;1;;;;;;;;;;1;;1;;
7;слабовидящие;31;1;3;;3;5;3;9;5;1;1;;;;;23;;31;;
8;с тяжелыми нарушениями речи;20;1;7;3;1;;5;1;1;1;;;;;1;9;;18;2;
9;с нарушением опорно-двигательного аппарата;139;13;13;12;13;16;17;20;12;14;5;4;;;8;100;6;133;4;2
10;с задержкой психического развития;987;63;83;118;121;98;131;128;142;103;;;;;9;150;18;976;8;3
11;с умственной отсталостью (интеллектуальными          нарушениями);282;22;24;21;35;28;42;48;29;31;1;1;;;4;133;;282;;
12;с расстройствами аутистического спектра;39;13;7;4;1;3;4;2;3;1;1;;;;;29;1;39;;
13;со сложными дефектами;3;;;;;;;2;1;;;;;;;3;;3;;
14;с иными ограниченными возможностями          здоровья;177;5;20;10;15;20;21;23;25;23;7;8;;;14;138;;176;1;
