;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;691
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;673
3;Коллегиальные органы управления;691
4;в том числе:       общее собрание;652
5;педагогический совет;687
6;попечительский совет;101
7;управляющий совет;57
8;наблюдательный совет;4
9;другие;72
10;Советы обучающихся;606
11;Советы родителей;650
12;Профессиональные союзы работников;557
13;из строки 03 с участием общественности (родителей, работодателей);417
14;Организация реализует профориентационный минимум;668
15;в том числе:       на базовом уровне;1
16;на основном уровне;403
17;на продвинутом уровне;277
