;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;45520
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;43798
3;Коллегиальные органы управления;42619
4;в том числе:       общее собрание;36716
5;педагогический совет;43202
6;попечительский совет;6899
7;управляющий совет;21452
8;наблюдательный совет;3252
9;другие;10102
10;Советы обучающихся;32126
11;Советы родителей;33162
12;Профессиональные союзы работников;37536
13;из строки 03 с участием общественности (родителей, работодателей);34305
