;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11
№ строки;Наименование показателя;Всего  (сумма гр. 4–10);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из гр. 3 – лица в возрасте 18 лет и старше
1;Выбыло обучающихся – всего (сумма стр. 02, 05, 08–13);24060;608;6358;16945;13;6;117;13;10004
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;988;62;321;572;;;33;;118
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;152;;57;95;;;;;8
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;146;;34;112;;;;;67
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;2596;318;1108;1157;1;2;1;9;686
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;225;4;109;111;1;;;;46
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;11;;5;6;;;;;6
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;1085;10;248;821;;;6;;269
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;677;;98;574;;;5;;226
10;в связи с переходом на семейное образование и самообразование;318;1;45;261;;;11;;49
11;по болезни;109;1;34;71;;;1;2;50
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;1374;;263;1111;;;;;824
13;выбыло по другим причинам;16913;216;4241;12378;12;4;60;2;7782
14;Численность обучающихся на начало прошлого учебного года (по состоянию на 20 сентября);71881;;;;;;;;
