;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11
№ строки;Наименование показателя;Всего  (сумма гр. 4–10);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из гр. 3 – лица в возрасте 18 лет и старше
1;Выбыло обучающихся – всего (сумма стр. 02, 05, 08–13);1068058;426648;493096;121338;8863;7000;801;10312;11260
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;55339;22854;23856;6129;941;829;10;720;382
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;4912;1726;2053;670;144;153;1;165;32
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;4519;2663;1663;193;;;;;27
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;893153;389073;429648;54084;7513;5665;427;6743;1989
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;30612;11716;14425;2068;809;793;22;779;94
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;13037;8359;4357;321;;;;;12
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;30782;698;10507;19375;;;179;;477
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;29736;;9125;20485;;;116;;249
10;в связи с переходом на семейное образование и самообразование;6921;1997;3590;1182;19;32;;101;96
11;по болезни;796;200;165;221;8;21;1;180;102
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;5861;69;2353;3298;5;61;12;63;843
13;выбыло по другим причинам;45470;11757;13852;16564;377;359;56;2505;7122
14;Численность обучающихся на начало прошлого учебного года (по состоянию на 20 сентября);13422504;;;;;;;;
