;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11
№ строки;Наименование показателя;Всего  (сумма гр. 4–10);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из гр. 3 – лица в возрасте 18 лет и старше
1;Выбыло обучающихся – всего (сумма стр. 02, 05, 08–13);30503;1089;8477;20669;78;18;133;39;13248
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;1386;146;507;723;;2;8;;231
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;221;43;96;82;;;;;20
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;26;20;;6;;;;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;3930;626;1860;1406;2;1;1;34;659
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;107;4;57;46;;;;;8
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;31;2;8;21;;;;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;1078;4;192;881;;;1;;230
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;839;;65;774;;;;;302
10;в связи с переходом на семейное образование и самообразование;212;;81;131;;;;;75
11;по болезни;98;1;22;74;;;1;;54
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;1733;;628;1074;;;31;;760
13;выбыло по другим причинам;21227;312;5122;15606;76;15;91;5;10937
14;Численность обучающихся на начало прошлого учебного года (по состоянию на 20 сентября);91525;;;;;;;;
