;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;657
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;646
3;Коллегиальные органы управления;652
4;в том числе:       общее собрание;567
5;педагогический совет;644
6;попечительский совет;47
7;управляющий совет;472
8;наблюдательный совет;20
9;другие;129
10;Советы обучающихся;597
11;Советы родителей;576
12;Профессиональные союзы работников;631
13;из строки 03 с участием общественности (родителей, работодателей);481
14;Организация реализует профориентационный минимум;632
15;в том числе:       на базовом уровне;51
16;на основном уровне;601
17;на продвинутом уровне;14
