;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателей;Общая численность обучающихся (сумма граф  4, 7, 10);Численность обучающихся по программам начального общего образования – всего (1–4 классы);Численность обучающихся по программам из графы 4 девочки;Численность обучающихся по программам из графы 4 обучающиеся 1-х классов без оставленных на повторное обучение;Численность обучающихся по программам основного общего образования – всего (5-9 классы);Численность обучающихся по программам из графы 7 девочки;Численность обучающихся по программам из графы 7 обучающиеся 5-х классов без оставленных на повторное обучение;Численность обучающихся по программам среднего общего образования – всего (10-11(12) классы;Численность обучающихся по программам из графы 10 девочки;Численность обучающихся по программам из графы 10 обучающиеся 10-х классов без оставленных на повторное обучение;из них (из графы 3) обучающиеся по очно-заочной и заочной формам обучения*;из них (из графы 3) обучающиеся иностранные граждане;из них (из графы 3) из них (из гр. 14) девочки;из них (из графы 3) обучающиеся лица без гражданства
1;Всего;314916;133350;64842;30117;159309;77707;33183;22257;11521;11908;1471;1828;787;31
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;;;;;;;;;;;;;;
3;6 лет;3203;3203;1708;3156;;;;;;;;19;10;
4;7 лет;27403;27403;13371;23854;;;;;;;;173;71;2
5;8 лет;33284;33284;16248;2829;;;;;;;;188;80;2
6;9 лет;33996;33973;16508;207;23;11;7;;;;1;208;90;2
7;10 лет;34596;30651;14889;38;3945;1949;3728;;;;1;218;99;2
8;11 лет;34390;3815;1719;19;30575;15130;25289;;;;;194;80;2
9;12 лет;33628;651;283;7;32977;16079;3430;;;;6;164;70;4
10;13 лет;31401;179;52;;31222;15240;477;;;;20;197;76;4
11;14 лет;31147;70;23;;31056;15263;120;21;9;16;54;175;80;2
12;15 лет;28044;36;11;1;26048;12659;38;1960;1026;1845;176;144;60;6
13;16 лет;13619;21;7;;2652;1123;22;10946;5786;9031;177;75;41;2
14;17 лет;8930;18;6;;402;145;12;8510;4465;711;161;31;12;1
15;18 лет;415;10;1;;81;29;4;324;173;19;58;4;3;
16;19 лет;51;2;1;1;22;6;2;27;7;11;29;1;;
17;20 лет;53;4;1;;18;9;2;31;7;19;47;;;
18;21 год;60;3;2;;16;8;2;41;10;23;56;1;1;
19;22 года;51;1;1;;12;5;;38;10;24;49;1;;
20;23 года;54;1;;;20;6;4;33;6;20;53;6;1;
21;24 года;61;5;5;;27;7;7;29;3;16;59;4;2;
22;25 лет;49;4;1;;21;5;4;24;3;13;46;2;1;1
23;26 лет;73;1;;1;29;11;6;43;2;35;72;4;3;
24;27 лет;65;2;;2;26;7;4;37;5;23;65;3;;1
25;28 лет;82;1;1;;28;8;6;53;1;37;82;7;2;
26;29 лет;71;6;4;;19;2;2;46;4;34;71;7;4;
27;30–34 года;108;4;;1;64;3;14;40;1;19;106;1;;
28;35–39 лет;41;;;;13;2;2;28;2;10;41;1;1;
29;40 лет и старше;41;2;;1;13;;1;26;1;2;41;;;
*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05
