;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;551
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;542
3;Коллегиальные органы управления;539
4;в том числе:       общее собрание;479
5;педагогический совет;537
6;попечительский совет;8
7;управляющий совет;507
8;наблюдательный совет;10
9;другие;28
10;Советы обучающихся;437
11;Советы родителей;231
12;Профессиональные союзы работников;513
13;из строки 03 с участием общественности (родителей, работодателей);513
14;Организация реализует профориентационный минимум;512
15;в том числе:       на базовом уровне;38
16;на основном уровне;117
17;на продвинутом уровне;360
