;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
№ строки;Наименование показателей;Общая численность обучающихся (сумма граф  4, 7, 10, 13);Численность обучающихся по программам начального общего образования – всего;Численность обучающихся по программам из графы 4 девочки;Численность обучающихся по программам из графы 4 обучающиеся 1-го класса или 1-го класса первого года обучения  по пролонги-рованным программам;Численность обучающихся по программам основного общего образования – всего;Численность обучающихся по программам из графы 7 девочки;Численность обучающихся по программам из графы 7 обучающиеся 5-го класса или 5-го класса первого года обучения  по пролонги- рованным программам;Численность обучающихся по программам среднего общего образования – всего;Численность обучающихся по программам из графы 10 девочки;Численность обучающихся по программам из графы 10 обучающиеся 10-го класса  или 10-го класса первого года обучения  по пролонги-рованным программам;Численность обучающихся по программам образование обучающихся с умственной отсталостью (интеллекту-альными нарушениями);Численность обучающихся по программам из графы 13 девочки;Численность обучающихся по программам из графы 13 обучающиеся первого года обучения;из них (из графы 3) обучающиеся по очно-заочной и заочной формам обучения*;из них (из графы 3) обучающиеся иностранные граждане;из них (из графы 3) из них (из гр. 17) девочки;из них (из графы 3) обучающиеся лица без гражданства
1;Всего;17788;3941;1184;921;2618;980;509;293;142;138;10936;3634;915;440;89;29;
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;;;;;;;;;;;;;;;;;
3;6 лет;11;11;6;10;;;;;;;;;;;;;
4;7 лет;493;370;128;353;;;;;;;123;47;101;1;;;
5;8 лет;1436;781;227;399;;;;;;;655;189;482;12;3;;
6;9 лет;1754;826;235;110;;;;;;;928;278;249;20;8;3;
7;10 лет;1850;823;268;25;5;3;4;;;;1022;364;52;29;13;4;
8;11 лет;1854;705;207;21;92;36;76;;;;1057;340;17;29;10;3;
9;12 лет;1878;288;79;3;388;159;224;;;;1202;404;5;52;10;5;
10;13 лет;1830;85;30;;529;197;150;;;;1216;402;3;52;15;4;
11;14 лет;1926;50;4;;577;215;44;;;;1299;404;2;51;6;2;
12;15 лет;1710;1;;;459;174;9;2;2;2;1248;419;1;57;9;2;
13;16 лет;1288;1;;;350;119;2;40;25;37;897;303;2;47;6;2;
14;17 лет;894;;;;171;61;;101;56;58;622;230;1;41;4;1;
15;18 лет;514;;;;40;15;;89;36;27;385;144;;28;3;2;
16;19 лет;239;;;;7;1;;48;18;9;184;67;;15;2;1;
17;20 лет;68;;;;;;;10;5;3;58;30;;3;;;
18;21 год;30;;;;;;;2;;1;28;11;;3;;;
19;22 года;7;;;;;;;;;;7;1;;;;;
20;23 года;1;;;;;;;;;;1;;;;;;
21;24 года;2;;;;;;;;;;2;;;;;;
22;25 лет;1;;;;;;;1;;1;;;;;;;
23;26 лет;1;;;;;;;;;;1;1;;;;;
24;27 лет;;;;;;;;;;;;;;;;;
25;28 лет;;;;;;;;;;;;;;;;;
26;29 лет;;;;;;;;;;;;;;;;;
27;30–34 года;;;;;;;;;;;;;;;;;
28;35–39 лет;;;;;;;;;;;;;;;;;
29;40 лет и старше;1;;;;;;;;;;1;;;;;;
*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05
