;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;494
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;474
3;Коллегиальные органы управления;478
4;в том числе:       общее собрание;392
5;педагогический совет;468
6;попечительский совет;53
7;управляющий совет;112
8;наблюдательный совет;34
9;другие;115
10;Советы обучающихся;373
11;Советы родителей;400
12;Профессиональные союзы работников;444
13;из строки 03 с участием общественности (родителей, работодателей);286
14;Организация реализует профориентационный минимум;475
15;в том числе:       на базовом уровне;19
16;на основном уровне;456
17;на продвинутом уровне;1
