;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;976
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;962
3;Коллегиальные органы управления;958
4;в том числе:       общее собрание;805
5;педагогический совет;949
6;попечительский совет;91
7;управляющий совет;371
8;наблюдательный совет;76
9;другие;323
10;Советы обучающихся;785
11;Советы родителей;674
12;Профессиональные союзы работников;885
13;из строки 03 с участием общественности (родителей, работодателей);651
14;Организация реализует профориентационный минимум;897
15;в том числе:       на базовом уровне;540
16;на основном уровне;418
17;на продвинутом уровне;122
