;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
№ строки;Наименование показателей;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Всего (сумма граф 9–11);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них лица с ограни- ченными возможностя- ми здоровья;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них из графы 4 инвалиды;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них из графы 4 дети-инвалиды;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них инвалиды (кроме учтенных в графе 5);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них дети-инвалиды (кроме учтенных в графе 6);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Из графы 3 обучались очно;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Из графы 3 обучались очно-заочно;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Из графы 3 обучались заочно;Классы для обучающихся с ограниченными возможностями здоровья Всего;Классы для обучающихся с ограниченными возможностями здоровья из них лица с ограни- ченными возможностя- ми здоровья;Классы для обучающихся с ограниченными возможностями здоровья из них из графы 13 инвалиды;Классы для обучающихся с ограниченными возможностями здоровья из них из графы 13 дети-инвалиды;Классы для обучающихся с ограниченными возможностями здоровья из них инвалиды (кроме учтенных в графе 14);Классы для обучающихся с ограниченными возможностями здоровья из них дети-инвалиды (кроме учтенных в графе 15);Итого по всем классам (сумма граф 3, 12);Кроме того, численность экстернов;из них лица с ограни- ченными возможностя- ми здоровья;из них из графы 20 инвалиды;из них из графы 20 дети-инвалиды;из них инвалиды (кроме учтенных в графе 21);из них дети-инвалиды (кроме учтенных в графе 22)
1;Численность обучающихся (гр. 3–18) и экстернов (гр. 19–24), допущенных к ГИА по образовательным программам основного общего образования (сумма строк 02, 04, 05);34202;1783;34;156;11;104;33334;795;73;158;157;1;44;;;34360;380;20;2;1;;1
2;в том числе:       получили аттестат об основном общем образовании;31795;1734;34;154;11;104;31253;484;58;158;157;1;44;;;31953;253;19;2;1;;1
3;из них (из строки 02) продолжили обучение по образовательной          программе среднего общего образования в данной организации;12456;143;5;36;1;37;12333;119;4;9;9;1;8;;;12465;5;;;;;
4;получили на ГИА неудовлетворительные результаты;2290;32;;;;;2010;265;15;;;;;;;2290;117;1;;;;
5;не участвовали в ГИА;117;17;;2;;;71;46;;;;;;;;117;10;;;;;
6;Из строки 02 получили аттестат об основном общем образовании:    с отличием;1459;5;;2;1;10;1458;1;;;;;;;;1459;11;;;;;1
7;в IV квартале прошлого года;106;6;;;;1;47;59;;17;17;;17;;;123;2;;;;;1
8;после 1 сентября текущего года;1650;36;;2;;1;1576;70;4;;;;;;;1650;25;2;;;;
9;Численность обучающихся (графы 3–18) и экстернов (графы 19–24), допущенных к ГИА по образовательным программам среднего общего образования (сумма строк 10–12);12677;108;21;29;4;38;12285;333;59;6;6;1;5;;;12683;87;1;1;;1;
