;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
№ строки;Наименование показателей;Общая численность обучающихся (сумма граф  4, 7, 10, 13);Численность обучающихся по программам начального общего образования – всего;Численность обучающихся по программам из графы 4 девочки;Численность обучающихся по программам из графы 4 обучающиеся 1-го класса или 1-го класса первого года обучения  по пролонги-рованным программам;Численность обучающихся по программам основного общего образования – всего;Численность обучающихся по программам из графы 7 девочки;Численность обучающихся по программам из графы 7 обучающиеся 5-го класса или 5-го класса первого года обучения  по пролонги- рованным программам;Численность обучающихся по программам среднего общего образования – всего;Численность обучающихся по программам из графы 10 девочки;Численность обучающихся по программам из графы 10 обучающиеся 10-го класса  или 10-го класса первого года обучения  по пролонги-рованным программам;Численность обучающихся по программам образование обучающихся с умственной отсталостью (интеллекту-альными нарушениями);Численность обучающихся по программам из графы 13 девочки;Численность обучающихся по программам из графы 13 обучающиеся первого года обучения;из них (из графы 3) обучающиеся по очно-заочной и заочной формам обучения*;из них (из графы 3) обучающиеся иностранные граждане;из них (из графы 3) из них (из гр. 17) девочки;из них (из графы 3) обучающиеся лица без гражданства
1;Всего;5782;1120;389;266;1013;327;215;44;17;13;3605;1181;288;35;9;2;1
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;;;;;;;;;;;;;;;;;
3;6 лет;7;7;1;7;;;;;;;;;;;;;
4;7 лет;204;122;64;89;;;;;;;82;27;71;;;;
5;8 лет;497;229;78;113;;;;;;;268;86;150;5;1;1;
6;9 лет;572;247;82;51;;;;;;;325;87;58;7;;;
7;10 лет;614;268;91;5;4;;3;;;;342;117;7;2;1;;
8;11 лет;647;178;49;1;67;25;56;;;;402;111;2;2;2;;
9;12 лет;642;64;20;;177;59;80;;;;401;136;;1;;;1
10;13 лет;608;5;4;;178;70;45;;;;425;138;;2;3;;
11;14 лет;635;;;;213;65;9;;;;422;142;;5;;;
12;15 лет;595;;;;185;58;19;1;1;;409;146;;3;1;;
13;16 лет;442;;;;116;35;3;14;7;6;312;120;;6;;;
14;17 лет;205;;;;55;11;;10;5;5;140;49;;1;1;1;
15;18 лет;73;;;;16;4;;7;;1;50;15;;1;;;
16;19 лет;21;;;;2;;;2;1;;17;6;;;;;
17;20 лет;6;;;;;;;1;1;1;5;1;;;;;
18;21 год;4;;;;;;;1;1;;3;;;;;;
19;22 года;1;;;;;;;;;;1;;;;;;
20;23 года;;;;;;;;;;;;;;;;;
21;24 года;;;;;;;;;;;;;;;;;
22;25 лет;;;;;;;;;;;;;;;;;
23;26 лет;1;;;;;;;1;1;;;;;;;;
24;27 лет;;;;;;;;;;;;;;;;;
25;28 лет;1;;;;;;;1;;;;;;;;;
26;29 лет;;;;;;;;;;;;;;;;;
27;30–34 года;4;;;;;;;4;;;;;;;;;
28;35–39 лет;2;;;;;;;2;;;;;;;;;
29;40 лет и старше;1;;;;;;;;;;1;;;;;;
*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05
