;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;9085;784;1015;1110;1161;839;1016;1003;1047;982;75;53;;;;;;;;
2;В них обучающихся (всего), чел.;182878;16501;22091;22848;23949;16416;19989;18673;19740;19207;1994;1470;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;41;4;3;4;6;3;5;5;4;6;1;;;;;24;;41;;
4;слабослышащие;148;14;22;18;21;19;12;11;20;11;;;;;1;94;1;148;;
5;позднооглохшие;15;1;1;4;;1;1;3;;3;;1;;;;11;;15;;
6;слепые;4;;1;;2;1;;;;;;;;;;4;;4;;
7;слабовидящие;197;13;18;29;45;13;19;13;24;11;5;7;;;1;75;;195;2;
8;с тяжелыми нарушениями речи;2303;298;536;520;480;120;130;106;63;49;;1;;;1;67;;2294;8;1
9;с нарушением опорно-двигательного аппарата;447;43;63;44;52;40;43;45;41;56;7;13;;;3;339;3;429;14;4
10;с задержкой психического развития;12803;715;1049;1375;1655;1111;1582;1638;1837;1821;14;6;;;7;382;6;12707;96;
11;с умственной отсталостью (интеллектуальными          нарушениями);1746;96;135;186;217;237;226;217;228;195;6;3;;;6;670;;1737;6;3
12;с расстройствами аутистического спектра;694;196;97;92;88;70;55;35;30;23;5;3;;;9;466;20;672;22;
13;со сложными дефектами;6;1;;;;2;2;1;;;;;;;;6;2;6;;
14;с иными ограниченными возможностями          здоровья;595;31;58;60;63;71;71;58;57;48;48;30;;;6;510;;589;4;2
