;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);8638;3455;3911;989;90;43;1;149;578;8578;45;15
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;174;68;95;3;7;1;;;;174;;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;1;;;;1;;;;;1;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;26;18;8;;;;;;;26;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;7353;3270;3493;358;76;40;;116;171;7340;9;4
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;84;38;11;1;12;8;;14;;83;1;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;113;97;16;;;;;;;113;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;202;;50;152;;;;;11;188;14;
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;132;;12;120;;;;;1;130;2;
10;в связи с переходом на семейное образование и самообразование;281;91;154;26;1;;;9;1;271;;10
11;по болезни;10;7;3;;;;;;;10;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;53;;29;24;;;;;23;51;2;
13;выбыло по другим причинам;433;19;75;306;6;2;1;24;371;414;18;1
