;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
№ строки;Наименование показателей;Общая численность обучающихся (сумма граф  4, 7, 10, 13);Численность обучающихся по программам начального общего образования – всего;Численность обучающихся по программам из графы 4 девочки;Численность обучающихся по программам из графы 4 обучающиеся 1-го класса или 1-го класса первого года обучения  по пролонги-рованным программам;Численность обучающихся по программам основного общего образования – всего;Численность обучающихся по программам из графы 7 девочки;Численность обучающихся по программам из графы 7 обучающиеся 5-го класса или 5-го класса первого года обучения  по пролонги- рованным программам;Численность обучающихся по программам среднего общего образования – всего;Численность обучающихся по программам из графы 10 девочки;Численность обучающихся по программам из графы 10 обучающиеся 10-го класса  или 10-го класса первого года обучения  по пролонги-рованным программам;Численность обучающихся по программам образование обучающихся с умственной отсталостью (интеллекту-альными нарушениями);Численность обучающихся по программам из графы 13 девочки;Численность обучающихся по программам из графы 13 обучающиеся первого года обучения;из них (из графы 3) обучающиеся по очно-заочной и заочной формам обучения*;из них (из графы 3) обучающиеся иностранные граждане;из них (из графы 3) из них (из гр. 17) девочки;из них (из графы 3) обучающиеся лица без гражданства
1;Всего;5565;1041;317;194;1290;410;280;7;6;4;3227;1141;241;;56;17;1
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;;;;;;;;;;;;;;;;;
3;6 лет;2;1;;1;;;;;;;1;;1;;;;
4;7 лет;139;97;25;97;;;;;;;42;15;42;;4;;
5;8 лет;386;195;72;86;;;;;;;191;62;119;;3;2;
6;9 лет;565;258;84;9;;;;;;;307;89;49;;4;2;
7;10 лет;616;266;71;1;2;1;2;;;;348;112;13;;8;2;
8;11 лет;609;161;49;;102;29;101;;;;346;124;9;;14;4;1
9;12 лет;672;54;13;;225;70;121;;;;393;157;6;;4;;
10;13 лет;699;8;2;;295;100;51;;;;396;151;1;;5;1;
11;14 лет;665;1;1;;258;77;4;;;;406;142;1;;7;5;
12;15 лет;672;;;;270;81;;;;;402;138;;;5;1;
13;16 лет;359;;;;115;46;;;;;244;82;;;1;;
14;17 лет;111;;;;18;5;;2;2;1;91;42;;;;;
15;18 лет;26;;;;5;1;1;3;2;1;18;6;;;1;;
16;19 лет;8;;;;;;;2;2;2;6;2;;;;;
17;20 лет;3;;;;;;;;;;3;;;;;;
18;21 год;4;;;;;;;;;;4;2;;;;;
19;22 года;;;;;;;;;;;;;;;;;
20;23 года;2;;;;;;;;;;2;;;;;;
21;24 года;1;;;;;;;;;;1;;;;;;
22;25 лет;;;;;;;;;;;;;;;;;
23;26 лет;1;;;;;;;;;;1;;;;;;
24;27 лет;;;;;;;;;;;;;;;;;
25;28 лет;;;;;;;;;;;;;;;;;
26;29 лет;1;;;;;;;;;;1;1;;;;;
27;30–34 года;6;;;;;;;;;;6;4;;;;;
28;35–39 лет;4;;;;;;;;;;4;2;;;;;
29;40 лет и старше;14;;;;;;;;;;14;10;;;;;
*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05
