;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;344
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;323
3;Коллегиальные органы управления;344
4;в том числе:       общее собрание;328
5;педагогический совет;342
6;попечительский совет;56
7;управляющий совет;70
8;наблюдательный совет;19
9;другие;155
10;Советы обучающихся;273
11;Советы родителей;265
12;Профессиональные союзы работников;337
13;из строки 03 с участием общественности (родителей, работодателей);315
14;Организация реализует профориентационный минимум;331
15;в том числе:       на базовом уровне;102
16;на основном уровне;217
17;на продвинутом уровне;17
