;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателя;Всего (сумма граф 04 - 16);Программы начального общего образования 1-й класс;Программы начального общего образования 2-й класс;Программы начального общего образования 3-й класс;Программы начального общего образования 4-й класс;Программы основного общего образования 5-й класс;Программы основного общего образования 6-й класс;Программы основного общего образования 7-й класс;Программы основного общего образования 8-й класс;Программы основного общего образования 9-й класс;Программы среднего общего образования 10-й класс;Программы среднего общего образования 11-й класс (выпускной);Программы среднего общего образования 11-й класс;Программы среднего общего образования 12-й класс
1;Число классов без углубленного изучения предметов, ед.;2854;289;299;322;302;292;309;295;289;295;78;75;4;5
2;В них обучающихся, чел.;56951;5555;6086;6391;6262;5909;6246;5866;5791;5961;1509;1301;38;36
3;Число классов с углубленным изучением отдельных предметов, ед.;281;5;12;11;13;13;13;22;26;22;72;72;;
4;В них обучающихся, чел.;6202;147;367;318;358;352;329;544;639;560;1387;1201;;
5;Число гимназических классов, ед.;87;8;9;8;9;8;8;8;9;8;6;6;;
6;В них обучающихся, чел.;2328;212;238;227;248;219;236;211;220;188;163;166;;
7;Число лицейских классов, ед.;109;9;9;7;8;13;13;12;12;12;7;7;;
8;В них обучающихся, чел.;3043;278;262;222;237;358;364;321;316;321;181;183;;
9;Итого классов (без классов для обучающихся с ограниченными возможностями здоровья) (сумма строк 01, 03, 05, 07), ед.;3331;311;329;348;332;326;343;337;336;337;163;160;4;5
10;"В них обучающихся (сумма строк 02, 04, 06, 08;  сумма строк 11 - 13), чел.";68524;6192;6953;7158;7105;6838;7175;6942;6966;7030;3240;2851;38;36
11;в том числе обучаются:          очно;68341;6192;6952;7158;7103;6838;7175;6941;6961;6992;3192;2833;;4
12;очно-заочно;129;;;;;;;;1;23;42;13;33;17
13;заочно;54;;1;;2;;;1;4;15;6;5;5;15
14;Из строки 10:          воспитанники (без приходящих учащихся);313;1;2;2;3;32;33;61;56;52;36;35;;
15;девочки;34135;3041;3483;3498;3523;3330;3510;3477;3408;3474;1817;1569;2;3
16;оставленные на повторное обучение;191;39;16;5;8;10;10;15;23;64;1;;;
17;лица с ограниченными возможностями здоровья;4096;282;334;496;512;377;466;532;476;564;25;28;;4
18;из них:                инвалиды;48;6;1;;4;5;2;5;6;4;2;9;;4
19;дети-инвалиды;625;60;47;67;79;60;69;74;59;73;21;16;;
20;инвалиды (кроме учтенных в строке 18);10;;;1;1;3;;;;2;1;2;;
21;дети-инвалиды (кроме учтенных в строке 19);470;40;42;33;42;54;46;30;49;58;35;41;;
22;дети-сироты и дети, оставшиеся без попечения родителей;529;28;27;42;46;57;57;66;65;75;37;25;;4
23;из них воспитанники (без приходящих учащихся);3;;;;;;;1;;;1;1;;
24;обучающиеся иностранные граждане;302;32;28;44;49;30;27;25;39;23;2;3;;
25;из них девочки;123;20;7;19;23;10;9;8;16;8;1;2;;
26;обучающиеся лица без гражданства;7;;1;1;;;2;1;1;1;;;;
