;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);5665;1642;2835;1061;35;78;1;13;91;5596;49;20
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;185;11;151;1;7;15;;;;185;;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;11;1;;1;6;3;;;;11;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;13;10;3;;;;;;;13;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;4162;1573;2114;409;27;32;;7;3;4162;;
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;599;239;331;18;2;8;;1;;599;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;48;28;15;5;;;;;;48;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;539;;192;342;;4;1;;2;537;;2
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;263;;118;118;;27;;;;262;;1
10;в связи с переходом на семейное образование и самообразование;100;16;64;19;;;;1;;100;;
11;по болезни;2;;1;1;;;;;;2;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;56;;43;13;;;;;7;55;1;
13;выбыло по другим причинам;358;42;152;158;1;;;5;79;293;48;17
