;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;190
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;182
3;Коллегиальные органы управления;187
4;в том числе:       общее собрание;150
5;педагогический совет;186
6;попечительский совет;16
7;управляющий совет;56
8;наблюдательный совет;2
9;другие;26
10;Советы обучающихся;154
11;Советы родителей;141
12;Профессиональные союзы работников;77
13;из строки 03 с участием общественности (родителей, работодателей);83
14;Организация реализует профориентационный минимум;156
15;в том числе:       на базовом уровне;115
16;на основном уровне;56
17;на продвинутом уровне;5
