;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;163
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;158
3;Коллегиальные органы управления;159
4;в том числе:       общее собрание;121
5;педагогический совет;158
6;попечительский совет;22
7;управляющий совет;33
8;наблюдательный совет;1
9;другие;21
10;Советы обучающихся;138
11;Советы родителей;136
12;Профессиональные союзы работников;143
13;из строки 03 с участием общественности (родителей, работодателей);89
14;Организация реализует профориентационный минимум;113
15;в том числе:       на базовом уровне;95
16;на основном уровне;22
17;на продвинутом уровне;11
