;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);3212;1187;1549;459;3;13;;1;3;3209;;3
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;13;;13;;;;;;;13;;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;;;;;;;;;;;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;;;;;;;;;;;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;2705;1151;1321;227;3;2;;1;1;2705;;
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;1;;;;;;;1;;1;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;;;;;;;;;;;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;165;;75;79;;11;;;2;165;;
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;183;;70;113;;;;;;183;;
10;в связи с переходом на семейное образование и самообразование;97;33;51;13;;;;;;94;;3
11;по болезни;1;1;;;;;;;;1;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;12;;4;8;;;;;;12;;
13;выбыло по другим причинам;36;2;15;19;;;;;;36;;
