;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;173
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;172
3;Коллегиальные органы управления;172
4;в том числе:       общее собрание;131
5;педагогический совет;172
6;попечительский совет;23
7;управляющий совет;133
8;наблюдательный совет;9
9;другие;13
10;Советы обучающихся;150
11;Советы родителей;151
12;Профессиональные союзы работников;147
13;из строки 03 с участием общественности (родителей, работодателей);102
14;Организация реализует профориентационный минимум;161
15;в том числе:       на базовом уровне;53
16;на основном уровне;106
17;на продвинутом уровне;5
