;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;449
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;432
3;Коллегиальные органы управления;432
4;в том числе:       общее собрание;341
5;педагогический совет;416
6;попечительский совет;49
7;управляющий совет;175
8;наблюдательный совет;28
9;другие;104
10;Советы обучающихся;352
11;Советы родителей;399
12;Профессиональные союзы работников;392
13;из строки 03 с участием общественности (родителей, работодателей);285
14;Организация реализует профориентационный минимум;379
15;в том числе:       на базовом уровне;189
16;на основном уровне;212
17;на продвинутом уровне;27
