;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;42955
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;41679
3;Коллегиальные органы управления;41305
4;в том числе:       общее собрание;34238
5;педагогический совет;40673
6;попечительский совет;5434
7;управляющий совет;18847
8;наблюдательный совет;4310
9;другие;8524
10;Советы обучающихся;32964
11;Советы родителей;33186
12;Профессиональные союзы работников;35069
13;из строки 03 с участием общественности (родителей, работодателей);30810
