;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;2262;188;218;265;285;224;240;267;263;287;14;11;;;;;;;;
2;В них обучающихся (всего), чел.;45061;3946;4823;5371;5725;4408;4888;5133;4968;5412;224;163;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;5;;;;2;;;;1;2;;;;;;4;;5;;
4;слабослышащие;69;11;5;5;9;7;5;9;10;6;;2;;;2;46;;69;;
5;позднооглохшие;2;1;;;;;;;;1;;;;;;;;2;;
6;слепые;;;;;;;;;;;;;;;;;;;;
7;слабовидящие;67;5;5;9;11;6;5;8;7;7;3;1;;;3;38;;66;1;
8;с тяжелыми нарушениями речи;478;90;92;112;91;35;20;18;6;14;;;;;1;43;;477;;1
9;с нарушением опорно-двигательного аппарата;272;24;26;17;32;37;26;40;25;31;9;5;;;10;213;4;263;9;
10;с задержкой психического развития;1871;72;127;191;219;147;227;238;260;389;1;;;;4;116;6;1859;11;1
11;с умственной отсталостью (интеллектуальными          нарушениями);477;18;22;37;40;55;61;74;102;68;;;;;20;283;;448;21;8
12;с расстройствами аутистического спектра;111;25;15;13;15;7;9;9;6;10;1;1;;;2;87;;104;5;2
13;со сложными дефектами;4;;;;;1;1;1;;1;;;;;1;2;2;2;2;
14;с иными ограниченными возможностями          здоровья;143;11;23;12;18;17;8;17;19;11;3;4;;;12;64;4;141;;2
