;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;390
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;390
3;Коллегиальные органы управления;388
4;в том числе:       общее собрание;371
5;педагогический совет;386
6;попечительский совет;88
7;управляющий совет;296
8;наблюдательный совет;50
9;другие;28
10;Советы обучающихся;340
11;Советы родителей;317
12;Профессиональные союзы работников;346
13;из строки 03 с участием общественности (родителей, работодателей);243
14;Организация реализует профориентационный минимум;339
15;в том числе:       на базовом уровне;230
16;на основном уровне;154
17;на продвинутом уровне;13
