;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование образовательных программ;Численность обучающихся по образовательным программам - всего, чел;Сетевая форма реализации образовательных программ численность обучающихся (из графы 3) по программам, реализуемым с использованием сетевой формы - всего, чел;Сетевая форма реализации образовательных программ число органи-заций, с которыми заключены дого-воры на реализа-цию образователь-ных программ с использованием сетевой формы, единиц , ед;Электронное обучение численность обучающихся (из графы 3) с применением электронного обучения , чел;Электронное обучение в том числе (из графы 6) с применением исключительно электронного обучения, чел;Дистанционные образовательные технологии численность обучающихся (из графы 3) с применением дистанционных образовательных технологий, чел;Дистанционные образовательные технологии в том числе (из графы 8) с применением исключительно дистанционных образовательных технологий, чел
1;Всего по образовательным программам (сумма строк 02, 12, 22, 32);151302;2586;;2395;;3879;52
2;Образовательные программы начального общего образования;62082;831;87;899;;1661;9
3;из них адаптированные;1756;92;4;75;;103;9
4;в том числе:           для глухих;9;;;;;;
5;для слабослышащих и позднооглохших;49;1;;;;;
6;для слепых;9;;;;;;
7;для слабовидящих;83;1;;;;;
8;с тяжелыми нарушениями речи;549;73;;69;;76;
9;с нарушениями опорно-двигательного аппарата;155;2;;;;10;9
10;с задержкой психического развития;751;14;4;6;;15;
11;с расстройствами аутистического спектра;151;1;;;;2;
12;Образовательные программы основного общего образования;77468;1482;90;1323;;2015;30
13;из них адаптированные;1918;28;2;13;;53;29
14;в том числе:           для глухих;9;;;;;;
15;для слабослышащих и позднооглохших;81;;;;;1;
16;для слепых;16;;;;;;
17;для слабовидящих;108;3;;;;;
18;с тяжелыми нарушениями речи;160;;;1;;;
19;с нарушениями опорно-двигательного аппарата;199;1;;;;33;29
20;с задержкой психического развития;1289;24;2;12;;19;
21;с расстройствами аутистического спектра;56;;;;;;
22;Образовательные программы среднего общего образования;10333;273;4;173;;197;9
23;из них адаптированные;51;1;;;;14;9
24;в том числе:           для глухих;;;;;;;
25;для слабослышащих и позднооглохших;2;;;;;;
26;для слепых;11;;;;;;
27;для слабовидящих;8;1;;;;;
28;с тяжелыми нарушениями речи;;;;;;;
29;с нарушениями опорно-двигательного аппарата;24;;;;;14;9
30;с задержкой психического развития;2;;;;;;
31;с расстройствами аутистического спектра;4;;;;;;
32;Программы образования обучающихся с умственной отсталостью (интеллектуальными нарушениями);1419;;;;;6;4
33;Справочно. Код по ОКЕИ: человек – 792  Из общей численности обучающихся (из графы 3 подраздела 1.3.) – лица, имеющие кохлеарные импланты и обучающиеся по программам:    начального общего образования (из строки 02);93;;;;;;
34;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;3;;;;;;
35;основного общего образования (из строки 12);159;;;;;;
36;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;4;;;;;;
37;среднего общего образования (из строки 22);12;;;;;;
38;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;;;;;;;
39;образования обучающихся с умственной отсталостью    (интеллектуальными нарушениями) (из строки 32);108;;;;;;
40;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;1;;;;;;
