;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;970;86;104;139;134;77;101;107;102;111;4;5;;;;;;;;
2;В них обучающихся (всего), чел.;19579;1601;2274;2811;2678;1601;2096;1944;2054;2325;88;107;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;;;;;;;;;;;;;;;;;;;;
4;слабослышащие;13;2;;3;2;1;;1;1;3;;;;;;8;;13;;
5;позднооглохшие;1;;;;1;;;;;;;;;;;1;;1;;
6;слепые;;;;;;;;;;;;;;;;;;;;
7;слабовидящие;30;2;2;3;5;;3;8;4;3;;;;;3;19;;30;;
8;с тяжелыми нарушениями речи;36;3;4;3;8;;3;4;6;5;;;;;1;7;;35;1;
9;с нарушением опорно-двигательного аппарата;74;7;6;11;8;8;4;10;10;8;2;;;;5;50;;70;4;
10;с задержкой психического развития;956;74;104;145;154;69;108;102;83;117;;;;;6;46;;951;4;1
11;с умственной отсталостью (интеллектуальными          нарушениями);183;12;15;21;20;25;20;23;26;21;;;;;;25;;178;5;
12;с расстройствами аутистического спектра;16;3;4;2;5;1;;;;1;;;;;;14;2;16;;
13;со сложными дефектами;;;;;;;;;;;;;;;;;;;;
14;с иными ограниченными возможностями          здоровья;87;4;8;10;9;10;6;5;13;13;4;5;;;2;68;;86;1;
