;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;250
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;235
3;Коллегиальные органы управления;249
4;в том числе:       общее собрание;208
5;педагогический совет;248
6;попечительский совет;27
7;управляющий совет;227
8;наблюдательный совет;3
9;другие;18
10;Советы обучающихся;213
11;Советы родителей;188
12;Профессиональные союзы работников;220
13;из строки 03 с участием общественности (родителей, работодателей);201
14;Организация реализует профориентационный минимум;219
15;в том числе:       на базовом уровне;107
16;на основном уровне;110
17;на продвинутом уровне;17
