;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование образовательных программ;Численность обучающихся по образовательным программам - всего, чел;Сетевая форма реализации образовательных программ численность обучающихся (из графы 3) по программам, реализуемым с использованием сетевой формы - всего, чел;Сетевая форма реализации образовательных программ число органи-заций, с которыми заключены дого-воры на реализа-цию образователь-ных программ с использованием сетевой формы, единиц , ед;Электронное обучение численность обучающихся (из графы 3) с применением электронного обучения , чел;Электронное обучение в том числе (из графы 6) с применением исключительно электронного обучения, чел;Дистанционные образовательные технологии численность обучающихся (из графы 3) с применением дистанционных образовательных технологий, чел;Дистанционные образовательные технологии в том числе (из графы 8) с применением исключительно дистанционных образовательных технологий, чел
1;Всего по образовательным программам (сумма строк 02, 12, 22, 32);149883;1224;;1528;;4161;233
2;Образовательные программы начального общего образования;58857;;;602;;1524;32
3;из них адаптированные;1462;;;5;;21;16
4;в том числе:           для глухих;11;;;;;;
5;для слабослышащих и позднооглохших;83;;;;;1;1
6;для слепых;7;;;;;;
7;для слабовидящих;32;;;;;;
8;с тяжелыми нарушениями речи;133;;;;;;
9;с нарушениями опорно-двигательного аппарата;92;;;2;;9;7
10;с задержкой психического развития;992;;;3;;11;8
11;с расстройствами аутистического спектра;112;;;;;;
12;Образовательные программы основного общего образования;74550;255;5;668;;1763;68
13;из них адаптированные;995;3;;1;;37;36
14;в том числе:           для глухих;21;;;;;;
15;для слабослышащих и позднооглохших;57;;;;;;
16;для слепых;26;;;;;;
17;для слабовидящих;61;;;;;;
18;с тяжелыми нарушениями речи;11;;;;;;
19;с нарушениями опорно-двигательного аппарата;85;1;;;;26;26
20;с задержкой психического развития;709;2;;1;;10;9
21;с расстройствами аутистического спектра;25;;;;;1;1
22;Образовательные программы среднего общего образования;14351;969;17;252;;837;98
23;из них адаптированные;22;;;;;7;7
24;в том числе:           для глухих;;;;;;;
25;для слабослышащих и позднооглохших;3;;;;;;
26;для слепых;;;;;;;
27;для слабовидящих;;;;;;;
28;с тяжелыми нарушениями речи;;;;;;;
29;с нарушениями опорно-двигательного аппарата;10;;;;;7;7
30;с задержкой психического развития;8;;;;;;
31;с расстройствами аутистического спектра;1;;;;;;
32;Программы образования обучающихся с умственной отсталостью (интеллектуальными нарушениями);2125;;;6;;37;35
33;Справочно. Код по ОКЕИ: человек – 792  Из общей численности обучающихся (из графы 3 подраздела 1.3.) – лица, имеющие кохлеарные импланты и обучающиеся по программам:    начального общего образования (из строки 02);47;;;;;;
34;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;19;;;;;;
35;основного общего образования (из строки 12);23;;;;;;
36;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;;;;;;;
37;среднего общего образования (из строки 22);;;;;;;
38;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;;;;;;;
39;образования обучающихся с умственной отсталостью    (интеллектуальными нарушениями) (из строки 32);43;;;;;;
40;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;;;;;;;
