;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;1615;174;176;234;233;181;174;184;143;103;9;4;;;;;;;;
2;В них обучающихся (всего), чел.;34959;3883;3983;5295;5353;3821;3715;3837;2848;2046;125;53;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;4;;1;;3;;;;;;;;;;;4;;4;;
4;слабослышащие;24;4;2;1;2;1;5;3;1;3;;2;;;;19;;24;;
5;позднооглохшие;2;;;;1;;;;;1;;;;;;2;;2;;
6;слепые;2;;1;;;;;;1;;;;;;;2;;2;;
7;слабовидящие;17;5;1;;1;1;1;1;2;4;;1;;;;13;;17;;
8;с тяжелыми нарушениями речи;40;6;5;11;10;2;1;4;1;;;;;;;10;;39;1;
9;с нарушением опорно-двигательного аппарата;93;16;9;17;15;9;5;7;11;4;;;;;;89;;93;;
10;с задержкой психического развития;1411;142;180;281;253;168;128;138;75;45;1;;;;5;179;;1408;3;
11;с умственной отсталостью (интеллектуальными          нарушениями);691;39;46;61;71;93;99;107;92;72;9;2;;;;424;;691;;
12;с расстройствами аутистического спектра;62;30;13;5;4;3;5;1;1;;;;;;;53;;62;;
13;со сложными дефектами;6;1;1;;1;;;3;;;;;;;;6;;6;;
14;с иными ограниченными возможностями          здоровья;15;1;1;1;2;;;;1;7;1;1;;;;11;;15;;
