;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;463
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;456
3;Коллегиальные органы управления;461
4;в том числе:       общее собрание;388
5;педагогический совет;449
6;попечительский совет;99
7;управляющий совет;407
8;наблюдательный совет;115
9;другие;47
10;Советы обучающихся;377
11;Советы родителей;398
12;Профессиональные союзы работников;353
13;из строки 03 с участием общественности (родителей, работодателей);317
14;Организация реализует профориентационный минимум;375
15;в том числе:       на базовом уровне;289
16;на основном уровне;82
17;на продвинутом уровне;24
