;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);10537;3559;5167;1533;106;71;9;92;919;9691;627;219
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;100;40;56;;1;2;;1;;100;;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;29;2;23;;1;2;;1;;29;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;47;19;28;;;;;;;47;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;7924;3396;4095;235;105;49;;44;39;7865;17;42
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;130;40;82;6;;2;;;2;128;2;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;149;118;31;;;;;;;149;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;655;;315;331;;5;4;;36;595;44;16
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;361;;67;294;;;;;5;354;7;
10;в связи с переходом на семейное образование и самообразование;483;111;302;53;;9;;8;5;453;24;6
11;по болезни;8;;5;3;;;;;2;8;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;255;;224;29;;2;;;205;171;75;9
13;выбыло по другим причинам;751;12;103;588;;4;5;39;627;145;460;146
