;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;42394
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;41081
3;Коллегиальные органы управления;40912
4;в том числе:       общее собрание;34219
5;педагогический совет;40343
6;попечительский совет;5465
7;управляющий совет;18725
8;наблюдательный совет;4573
9;другие;8395
10;Советы обучающихся;33297
11;Советы родителей;33213
12;Профессиональные союзы работников;34544
13;из строки 03 с участием общественности (родителей, работодателей);30352
