;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;1099
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;1062
3;Коллегиальные органы управления;1090
4;в том числе:       общее собрание;955
5;педагогический совет;1082
6;попечительский совет;99
7;управляющий совет;183
8;наблюдательный совет;541
9;другие;259
10;Советы обучающихся;906
11;Советы родителей;913
12;Профессиональные союзы работников;891
13;из строки 03 с участием общественности (родителей, работодателей);797
14;Организация реализует профориентационный минимум;966
15;в том числе:       на базовом уровне;459
16;на основном уровне;416
17;на продвинутом уровне;103
