;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование образовательных программ;Численность обучающихся по образовательным программам - всего, чел;Сетевая форма реализации образовательных программ численность обучающихся (из графы 3) по программам, реализуемым с использованием сетевой формы - всего, чел;Сетевая форма реализации образовательных программ число органи-заций, с которыми заключены дого-воры на реализа-цию образователь-ных программ с использованием сетевой формы, единиц , ед;Электронное обучение численность обучающихся (из графы 3) с применением электронного обучения , чел;Электронное обучение в том числе (из графы 6) с применением исключительно электронного обучения, чел;Дистанционные образовательные технологии численность обучающихся (из графы 3) с применением дистанционных образовательных технологий, чел;Дистанционные образовательные технологии в том числе (из графы 8) с применением исключительно дистанционных образовательных технологий, чел
1;Всего по образовательным программам (сумма строк 02, 12, 22, 32);53527;84;;473;;3709;
2;Образовательные программы начального общего образования;22325;;;158;;1645;
3;из них адаптированные;588;;;1;;19;
4;в том числе:           для глухих;12;;;;;1;
5;для слабослышащих и позднооглохших;7;;;;;1;
6;для слепых;;;;;;;
7;для слабовидящих;7;;;;;;
8;с тяжелыми нарушениями речи;42;;;;;1;
9;с нарушениями опорно-двигательного аппарата;46;;;;;4;
10;с задержкой психического развития;440;;;1;;11;
11;с расстройствами аутистического спектра;34;;;;;1;
12;Образовательные программы основного общего образования;26512;;;261;;1737;
13;из них адаптированные;763;;;3;;22;
14;в том числе:           для глухих;16;;;;;2;
15;для слабослышащих и позднооглохших;8;;;;;1;
16;для слепых;1;;;;;;
17;для слабовидящих;10;;;;;1;
18;с тяжелыми нарушениями речи;65;;;1;;1;
19;с нарушениями опорно-двигательного аппарата;71;;;1;;9;
20;с задержкой психического развития;573;;;1;;8;
21;с расстройствами аутистического спектра;19;;;;;;
22;Образовательные программы среднего общего образования;4235;84;1;52;;323;
23;из них адаптированные;21;;;;;2;
24;в том числе:           для глухих;1;;;;;;
25;для слабослышащих и позднооглохших;1;;;;;;
26;для слепых;;;;;;;
27;для слабовидящих;2;;;;;;
28;с тяжелыми нарушениями речи;;;;;;;
29;с нарушениями опорно-двигательного аппарата;12;;;;;2;
30;с задержкой психического развития;5;;;;;;
31;с расстройствами аутистического спектра;;;;;;;
32;Программы образования обучающихся с умственной отсталостью (интеллектуальными нарушениями);455;;;2;;4;
33;Справочно. Код по ОКЕИ: человек – 792  Из общей численности обучающихся (из графы 3 подраздела 1.3.) – лица, имеющие кохлеарные импланты и обучающиеся по программам:    начального общего образования (из строки 02);473;;;;;;
34;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;;;;;;;
35;основного общего образования (из строки 12);590;;;;;;
36;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;1;;;;;;
37;среднего общего образования (из строки 22);108;;;;;;
38;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;;;;;;;
39;образования обучающихся с умственной отсталостью    (интеллектуальными нарушениями) (из строки 32);16;;;;;;
40;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;11;;;;;;
