;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;64
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;64
3;Коллегиальные органы управления;62
4;в том числе:       общее собрание;42
5;педагогический совет;61
6;попечительский совет;4
7;управляющий совет;7
8;наблюдательный совет;2
9;другие;10
10;Советы обучающихся;54
11;Советы родителей;55
12;Профессиональные союзы работников;52
13;из строки 03 с участием общественности (родителей, работодателей);27
14;Организация реализует профориентационный минимум;55
15;в том числе:       на базовом уровне;38
16;на основном уровне;20
17;на продвинутом уровне;4
