;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
№ строки;Наименование показателей;Код по ОКИН;Всего (сумма  граф 5–14);Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам начального общего образования 1-й класс;Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам начального общего образования 2-й класс;Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам начального общего образования 3-й класс;Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам начального общего образования 4-й класс;Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам основного общего образования (5–9 классы);Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам среднего общего образования (10–11(12) классы;Численность обучающихся в классах для обучающихся с ограниченными возможностями здоровья, по программам начального общего образования;Численность обучающихся в классах для обучающихся с ограниченными возможностями здоровья, по программам основного общего образования;Численность обучающихся в классах для обучающихся с ограниченными возможностями здоровья, по программам среднего общего образования;Численность обучающихся в классах для обучающихся с ограниченными возможностями здоровья, по программам образование обучающихся  с умственной отсталостью (интеллектуаль- ными нарушениями);из них (из графы 4) обучающихся по очно-заочной и заочной формам обучения*
1;Численность обучающихся, изучающих родной (нерусский) язык как самостоятельный предмет;;7539;795;893;795;710;3573;581;;;;192;
2;в том числе язык обучения: Абазинский;001;;;;;;;;;;;;
3;Аварский;003;;;;;;;;;;;;
4;Адыгейский;005;;;;;;;;;;;;
5;Азербайджанский;007;;;;;;;;;;;;
6;Алтайский;013;;;;;;;;;;;;
7;Армянский;020;;;;;;;;;;;;
8;Балкарский;999;;;;;;;;;;;;
9;Башкирский;039;;;;;;;;;;;;
10;Белорусский;041;;;;;;;;;;;;
11;Бурятский;054;;;;;;;;;;;;
12;Вепсский;059;;;;;;;;;;;;
13;Грузинский;070;;;;;;;;;;;;
14;Даргинский;074;;;;;;;;;;;;
15;Долганский;079;;;;;;;;;;;;
16;Еврейский (идиш);081;;;;;;;;;;;;
17;Ительменский;095;;;;;;;;;;;;
18;Ингушский;087;;;;;;;;;;;;
19;Казахский;100;;;;;;;;;;;;
20;Калмыцкий;101;;;;;;;;;;;;
21;Кабардино-черкесский;098;;;;;;;;;;;;
22;Карачаево-балкарский;106;;;;;;;;;;;;
23;Карельский;107;;;;;;;;;;;;
24;Кетский;109;;;;;;;;;;;;
25;Коми;115;;;;;;;;;;;;
26;Коми-пермяцкий;116;;;;;;;;;;;;
27;Корейский;118;;;;;;;;;;;;
28;Корякский;119;;;;;;;;;;;;
29;Крымско-татарский;126;;;;;;;;;;;;
30;Кумыкский;129;;;;;;;;;;;;
31;Лакский;134;;;;;;;;;;;;
32;Лезгинский;139;;;;;;;;;;;;
33;Латышский;138;;;;;;;;;;;;
34;Литовский;141;;;;;;;;;;;;
35;Марийский (Марийский горный);154;;;;;;;;;;;;
36;Лугово-восточный марийский  (Марийский луговой);142;;;;;;;;;;;;
37;Мокша-мордовский  (Мордовский мокша);158;;;;;;;;;;;;
38;Мордовский (Мордовский эрзя);163;;;;;;;;;;;;
39;Мансийский (Манси);151;;;;;;;;;;;;
40;Нанайский;166;;;;;;;;;;;;
41;Ненецкий;172;;;;;;;;;;;;
42;Ногайский;178;;;;;;;;;;;;
43;Немецкий;171;;;;;;;;;;;;
44;Новогреческий;898;;;;;;;;;;;;
45;Нивхский (на двух диалектах);175;;;;;;;;;;;;
46;Осетинский;186;;;;;;;;;;;;
47;Польский;192;;;;;;;;;;;;
48;Рутульский;201;;;;;;;;;;;;
49;Саамский;203;;;;;;;;;;;;
50;Селькупский;208;;;;;;;;;;;;
51;Табасаранский;222;;;;;;;;;;;;
52;Татарский;228;;;;;;;;;;;;
53;Татский;229;;;;;;;;;;;;
54;Тофаларский;238;;;;;;;;;;;;
55;Тувинский;240;;;;;;;;;;;;
56;Турецкий;241;;;;;;;;;;;;
57;Туркменский;242;;;;;;;;;;;;
58;Удмуртский;236;;;;;;;;;;;;
59;Украинский;251;;;;;;;;;;;;
60;Хакасский;261;7539;795;893;795;710;3573;581;;;;192;3
61;Хантыйский (на трех диалектах);262;;;;;;;;;;;;
62;Финский;256;;;;;;;;;;;;
63;Чеченский;273;;;;;;;;;;;;
64;Черкесский;897;;;;;;;;;;;;
65;Чувашский;275;;;;;;;;;;;;
66;Чукотский;276;;;;;;;;;;;;
67;Эвенский;284;;;;;;;;;;;;
68;Эскимосский;288;;;;;;;;;;;;
69;Эвенкийский;283;;;;;;;;;;;;
70;Эстонский;290;;;;;;;;;;;;
71;Юкагирский;293;;;;;;;;;;;;
72;Якутский;297;;;;;;;;;;;;
73;Агульский;004;;;;;;;;;;;;
74;Греческий;069;;;;;;;;;;;;
75;Китайский;114;;;;;;;;;;;;
76;Негидальский;170;;;;;;;;;;;;
77;Удэгейский;247;;;;;;;;;;;;
78;Ульчский;252;;;;;;;;;;;;
79;Цахурский;268;;;;;;;;;;;;
80;Шорский;280;;;;;;;;;;;;
81;Энецкий;286;;;;;;;;;;;;
82;Орокский (Уйльта);250;;;;;;;;;;;;
83;Телеутский;230;;;;;;;;;;;;
84;Сойотский;998;;;;;;;;;;;;
85;Численность обучающихся, изучающих родной (нерусский) язык факультативно или в кружках;;5996;;;;;;;;;;;
*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05
