;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;236
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;229
3;Коллегиальные органы управления;228
4;в том числе:       общее собрание;228
5;педагогический совет;228
6;попечительский совет;11
7;управляющий совет;29
8;наблюдательный совет;2
9;другие;85
10;Советы обучающихся;192
11;Советы родителей;225
12;Профессиональные союзы работников;181
13;из строки 03 с участием общественности (родителей, работодателей);225
14;Организация реализует профориентационный минимум;180
15;в том числе:       на базовом уровне;118
16;на основном уровне;49
17;на продвинутом уровне;13
