;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;7817;521;706;844;934;777;957;985;1037;1032;14;10;;;;;;;;
2;В них обучающихся (всего), чел.;177424;12572;16714;19518;21152;17773;21157;22173;22768;23185;249;163;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;;;;;;;;;;;;;;;;;;;;
4;слабослышащие;47;6;7;1;8;3;5;5;6;4;1;1;;;;39;;47;;
5;позднооглохшие;1;;;;1;;;;;;;;;;;1;;1;;
6;слепые;2;;1;;;;;;;;1;;;;;2;;2;;
7;слабовидящие;57;4;6;13;7;3;7;1;11;5;;;;;;36;;57;;
8;с тяжелыми нарушениями речи;1820;328;480;354;259;73;84;108;89;45;;;;;;55;;1820;;
9;с нарушением опорно-двигательного аппарата;267;23;20;43;32;26;21;31;29;28;7;7;;;3;190;;267;;
10;с задержкой психического развития;15769;555;845;1354;1718;1374;1927;2363;2780;2850;2;1;;;;472;4;15753;16;
11;с умственной отсталостью (интеллектуальными          нарушениями);854;23;34;81;96;108;139;129;125;119;;;;;10;274;;852;1;1
12;с расстройствами аутистического спектра;69;28;3;10;4;6;4;3;5;5;1;;;;;55;;69;;
13;со сложными дефектами;;;;;;;;;;;;;;;;;;;;
14;с иными ограниченными возможностями          здоровья;65;8;2;6;8;7;6;8;7;7;4;2;;;;50;;64;1;
