;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;994
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;955
3;Коллегиальные органы управления;900
4;в том числе:       общее собрание;748
5;педагогический совет;892
6;попечительский совет;131
7;управляющий совет;117
8;наблюдательный совет;139
9;другие;218
10;Советы обучающихся;707
11;Советы родителей;746
12;Профессиональные союзы работников;810
13;из строки 03 с участием общественности (родителей, работодателей);614
14;Организация реализует профориентационный минимум;865
15;в том числе:       на базовом уровне;293
16;на основном уровне;527
17;на продвинутом уровне;58
