;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);27877;10232;13384;2844;431;578;21;387;340;27317;528;32
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;293;130;114;16;18;14;;1;;293;;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;26;7;12;1;2;3;;1;;26;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;113;66;47;;;;;;;113;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;23011;9695;11382;888;386;448;8;204;5;23005;2;4
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;842;351;391;22;47;18;;13;;841;;1
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;337;196;141;;;;;;;337;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;986;;309;633;;42;2;;3;984;2;
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;727;;187;519;;13;8;;6;718;;9
10;в связи с переходом на семейное образование и самообразование;1304;277;756;126;20;38;;87;8;1284;10;10
11;по болезни;8;2;1;5;;;;;;8;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;135;1;119;11;;4;;;43;132;1;2
13;выбыло по другим причинам;1413;127;516;646;7;19;3;95;275;893;513;7
