;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;323
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;316
3;Коллегиальные органы управления;323
4;в том числе:       общее собрание;286
5;педагогический совет;323
6;попечительский совет;53
7;управляющий совет;114
8;наблюдательный совет;51
9;другие;82
10;Советы обучающихся;302
11;Советы родителей;265
12;Профессиональные союзы работников;277
13;из строки 03 с участием общественности (родителей, работодателей);226
14;Организация реализует профориентационный минимум;306
15;в том числе:       на базовом уровне;90
16;на основном уровне;217
17;на продвинутом уровне;47
