;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;3307;294;333;360;413;295;370;371;404;439;13;15;;;;;;;;
2;В них обучающихся (всего), чел.;74954;6675;7787;8339;9879;6469;8393;8207;8869;9706;317;313;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;;;;;;;;;;;;;;;;;;;;
4;слабослышащие;33;;3;1;7;4;3;4;7;3;;1;;;;19;;33;;
5;позднооглохшие;8;;1;1;;;1;3;;2;;;;;;6;;8;;
6;слепые;;;;;;;;;;;;;;;;;;;;
7;слабовидящие;46;6;4;4;6;3;6;7;3;4;1;2;;;;28;;46;;
8;с тяжелыми нарушениями речи;733;183;164;122;134;36;33;20;18;23;;;;;;54;;733;;
9;с нарушением опорно-двигательного аппарата;275;23;31;26;35;18;35;32;28;39;4;4;;;;216;;275;;
10;с задержкой психического развития;5652;293;359;501;668;452;635;719;875;1149;;1;;;;185;1;5632;19;1
11;с умственной отсталостью (интеллектуальными          нарушениями);126;10;13;13;12;19;12;18;14;15;;;;;1;41;;125;;1
12;с расстройствами аутистического спектра;35;11;5;6;4;1;1;1;2;4;;;;;;22;;34;1;
13;со сложными дефектами;1;;;;;;;;1;;;;;;;;;1;;
14;с иными ограниченными возможностями          здоровья;125;9;9;16;10;13;13;18;13;9;8;7;;;2;89;;123;;2
