;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;3893;209;329;432;487;436;493;479;492;492;22;22;;;;;;;;
2;В них обучающихся (всего), чел.;68712;3894;5855;7443;8601;7809;8758;8438;8698;8367;470;379;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;39;;2;4;4;9;8;3;6;3;;;;;;9;;38;;1
4;слабослышащие;55;1;5;3;9;3;11;7;8;7;;1;;;6;32;2;52;2;1
5;позднооглохшие;4;;;;1;;;1;;1;;1;;;;4;;3;;1
6;слепые;1;;;;;;;1;;;;;;;;1;;1;;
7;слабовидящие;124;6;17;9;23;12;18;11;10;14;4;;;;4;71;;120;4;
8;с тяжелыми нарушениями речи;110;20;13;16;19;11;14;9;4;3;1;;;;1;26;2;110;;
9;с нарушением опорно-двигательного аппарата;346;43;29;37;48;26;38;32;37;36;12;8;;;5;303;3;340;1;5
10;с задержкой психического развития;4340;129;239;426;547;470;609;663;633;620;3;1;;;11;168;15;4294;33;13
11;с умственной отсталостью (интеллектуальными          нарушениями);2262;81;186;270;274;272;320;255;286;308;6;4;;;55;634;;2189;52;21
12;с расстройствами аутистического спектра;177;35;25;15;22;13;21;18;11;17;;;;;3;136;9;170;4;3
13;со сложными дефектами;4;;;1;;;;1;1;1;;;;;;3;;4;;
14;с иными ограниченными возможностями          здоровья;118;8;9;9;7;16;9;15;18;15;2;10;;;2;91;;117;;1
