;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;558
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;547
3;Коллегиальные органы управления;538
4;в том числе:       общее собрание;428
5;педагогический совет;519
6;попечительский совет;83
7;управляющий совет;221
8;наблюдательный совет;42
9;другие;107
10;Советы обучающихся;471
11;Советы родителей;477
12;Профессиональные союзы работников;365
13;из строки 03 с участием общественности (родителей, работодателей);342
14;Организация реализует профориентационный минимум;400
15;в том числе:       на базовом уровне;271
16;на основном уровне;143
17;на продвинутом уровне;28
