;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;623
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;609
3;Коллегиальные органы управления;618
4;в том числе:       общее собрание;581
5;педагогический совет;615
6;попечительский совет;253
7;управляющий совет;542
8;наблюдательный совет;74
9;другие;105
10;Советы обучающихся;561
11;Советы родителей;599
12;Профессиональные союзы работников;562
13;из строки 03 с участием общественности (родителей, работодателей);428
14;Организация реализует профориентационный минимум;506
15;в том числе:       на базовом уровне;273
16;на основном уровне;171
17;на продвинутом уровне;100
