;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);14649;4681;7060;2668;107;61;6;66;165;14512;104;33
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;1562;619;870;72;;1;;;1;1562;;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;1328;545;744;39;;;;;;1328;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;2;1;1;;;;;;;2;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;10711;4022;5565;910;105;57;2;50;53;10702;6;3
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;629;193;308;111;;2;;15;11;629;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;50;20;29;1;;;;;;50;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;991;;249;740;;;2;;43;969;18;4
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;858;;164;693;;;1;;4;841;16;1
10;в связи с переходом на семейное образование и самообразование;104;16;66;19;1;;;2;1;98;2;4
11;по болезни;9;3;1;4;;;;1;;9;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;106;;49;55;;2;;;2;104;2;
13;выбыло по другим причинам;308;21;96;175;1;1;1;13;61;227;60;21
