;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
№ строки;Наименование показателей;Код по ОКИН;Всего (сумма  граф 5–14);Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам начального общего образования 1-й класс;Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам начального общего образования 2-й класс;Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам начального общего образования 3-й класс;Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам начального общего образования 4-й класс;Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам основного общего образования (5–9 классы);Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам среднего общего образования (10–11(12) классы;Численность обучающихся в классах для обучающихся с ограниченными возможностями здоровья, по программам начального общего образования;Численность обучающихся в классах для обучающихся с ограниченными возможностями здоровья, по программам основного общего образования;Численность обучающихся в классах для обучающихся с ограниченными возможностями здоровья, по программам среднего общего образования;Численность обучающихся в классах для обучающихся с ограниченными возможностями здоровья, по программам образование обучающихся  с умственной отсталостью (интеллектуаль- ными нарушениями);из них (из графы 4) обучающихся по очно-заочной и заочной формам обучения*
1;Численность обучающихся, изучающих родной (нерусский) язык как самостоятельный предмет;;49323;3523;4633;5015;5043;24696;6030;98;111;19;155;56
2;в том числе язык обучения: Абазинский;001;;;;;;;;;;;;
3;Аварский;003;;;;;;;;;;;;
4;Адыгейский;005;;;;;;;;;;;;
5;Азербайджанский;007;;;;;;;;;;;;
6;Алтайский;013;;;;;;;;;;;;
7;Армянский;020;;;;;;;;;;;;
8;Балкарский;999;;;;;;;;;;;;
9;Башкирский;039;;;;;;;;;;;;
10;Белорусский;041;;;;;;;;;;;;
11;Бурятский;054;;;;;;;;;;;;
12;Вепсский;059;;;;;;;;;;;;
13;Грузинский;070;;;;;;;;;;;;
14;Даргинский;074;;;;;;;;;;;;
15;Долганский;079;73;;26;14;26;4;3;;;;;
16;Еврейский (идиш);081;;;;;;;;;;;;
17;Ительменский;095;;;;;;;;;;;;
18;Ингушский;087;;;;;;;;;;;;
19;Казахский;100;;;;;;;;;;;;
20;Калмыцкий;101;;;;;;;;;;;;
21;Кабардино-черкесский;098;;;;;;;;;;;;
22;Карачаево-балкарский;106;;;;;;;;;;;;
23;Карельский;107;;;;;;;;;;;;
24;Кетский;109;;;;;;;;;;;;
25;Коми;115;;;;;;;;;;;;
26;Коми-пермяцкий;116;;;;;;;;;;;;
27;Корейский;118;;;;;;;;;;;;
28;Корякский;119;;;;;;;;;;;;
29;Крымско-татарский;126;;;;;;;;;;;;
30;Кумыкский;129;;;;;;;;;;;;
31;Лакский;134;;;;;;;;;;;;
32;Лезгинский;139;;;;;;;;;;;;
33;Латышский;138;;;;;;;;;;;;
34;Литовский;141;;;;;;;;;;;;
35;Марийский (Марийский горный);154;;;;;;;;;;;;
36;Лугово-восточный марийский  (Марийский луговой);142;;;;;;;;;;;;
37;Мокша-мордовский  (Мордовский мокша);158;;;;;;;;;;;;
38;Мордовский (Мордовский эрзя);163;;;;;;;;;;;;
