;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;3711;299;339;379;429;377;370;402;405;408;186;117;;;;;;;;
2;В них обучающихся (всего), чел.;69307;5899;6902;7537;8589;7104;6893;7480;7194;7517;2603;1589;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;5;;;;;;;;1;2;1;1;;;;5;;5;;
4;слабослышащие;116;11;13;9;11;8;8;14;16;9;8;9;;;4;53;;116;;
5;позднооглохшие;4;1;;;;;;1;;;1;1;;;;3;;4;;
6;слепые;4;1;;;1;;;1;;1;;;;;2;2;;3;;1
7;слабовидящие;226;10;24;24;24;28;20;28;23;22;13;10;;;12;122;;226;;
8;с тяжелыми нарушениями речи;1165;169;176;172;172;116;81;89;56;74;46;14;;;13;145;;1164;;1
9;с нарушением опорно-двигательного аппарата;276;26;25;29;28;22;21;30;31;30;23;11;;;17;214;7;274;;2
10;с задержкой психического развития;4193;223;267;368;461;465;448;495;571;607;191;97;;;25;508;4;4183;5;5
11;с умственной отсталостью (интеллектуальными          нарушениями);543;34;27;32;56;82;49;71;79;76;22;15;;;20;339;;538;1;4
12;с расстройствами аутистического спектра;106;31;22;11;11;10;7;4;5;4;1;;;;1;92;4;105;;1
13;со сложными дефектами;11;4;3;;;1;;;1;1;1;;;;;6;1;11;;
14;с иными ограниченными возможностями          здоровья;416;38;41;34;50;38;40;41;35;34;30;35;;;28;244;1;415;;1
