;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;5462;429;537;672;767;513;617;622;634;662;6;3;;;;;;;;
2;В них обучающихся (всего), чел.;112669;8832;10816;13657;15087;10971;12773;12914;13431;14003;134;51;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;4;;1;;1;;;1;;1;;;;;;3;;4;;
4;слабослышащие;67;6;8;6;13;6;6;10;4;6;1;1;;;1;50;1;67;;
5;позднооглохшие;2;;1;;1;;;;;;;;;;;1;;2;;
6;слепые;1;;;1;;;;;;;;;;;;1;;1;;
7;слабовидящие;54;13;6;5;6;2;8;2;8;3;;1;;;;30;;54;;
8;с тяжелыми нарушениями речи;383;68;83;90;88;23;11;7;8;5;;;;;;30;;383;;
9;с нарушением опорно-двигательного аппарата;180;25;23;36;29;17;16;13;12;9;;;;;;163;12;180;;
10;с задержкой психического развития;7860;432;597;827;1071;729;871;1024;1098;1204;6;1;;;;254;4;7858;2;
11;с умственной отсталостью (интеллектуальными          нарушениями);1551;80;122;196;243;181;185;190;198;156;;;;;3;483;;1544;7;
12;с расстройствами аутистического спектра;52;13;2;9;9;2;5;5;1;6;;;;;;31;2;52;;
13;со сложными дефектами;;;;;;;;;;;;;;;;;;;;
14;с иными ограниченными возможностями          здоровья;;;;;;;;;;;;;;;;;;;;
