;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование образовательных программ;Численность обучающихся по образовательным программам - всего, чел;Сетевая форма реализации образовательных программ численность обучающихся (из графы 3) по программам, реализуемым с использованием сетевой формы - всего, чел;Сетевая форма реализации образовательных программ число органи-заций, с которыми заключены дого-воры на реализа-цию образователь-ных программ с использованием сетевой формы, единиц , ед;Электронное обучение численность обучающихся (из графы 3) с применением электронного обучения , чел;Электронное обучение в том числе (из графы 6) с применением исключительно электронного обучения, чел;Дистанционные образовательные технологии численность обучающихся (из графы 3) с применением дистанционных образовательных технологий, чел;Дистанционные образовательные технологии в том числе (из графы 8) с применением исключительно дистанционных образовательных технологий, чел
1;Всего по образовательным программам (сумма строк 02, 12, 22, 32);336331;5335;;78936;;1737;2
2;Образовательные программы начального общего образования;130902;8;2;31358;;402;
3;из них адаптированные;4448;6;1;502;;7;
4;в том числе:           для глухих;8;;;;;;
5;для слабослышащих и позднооглохших;112;;;6;;1;
6;для слепых;20;;;1;;;
7;для слабовидящих;77;;;5;;;
8;с тяжелыми нарушениями речи;438;;;70;;;
9;с нарушениями опорно-двигательного аппарата;196;;;22;;1;
10;с задержкой психического развития;3514;;;366;;5;
11;с расстройствами аутистического спектра;83;6;1;32;;;
12;Образовательные программы основного общего образования;163368;1159;27;38783;;955;2
13;из них адаптированные;6804;17;1;707;;4;
14;в том числе:           для глухих;14;;;;;;
15;для слабослышащих и позднооглохших;127;;;4;;;
16;для слепых;13;;;;;;
17;для слабовидящих;103;;;3;;;
18;с тяжелыми нарушениями речи;83;;;8;;;
19;с нарушениями опорно-двигательного аппарата;180;;;4;;2;
20;с задержкой психического развития;6265;17;1;682;;2;
21;с расстройствами аутистического спектра;19;;;6;;;
22;Образовательные программы среднего общего образования;28090;4078;120;8048;;377;
23;из них адаптированные;23;1;1;1;;;
24;в том числе:           для глухих;;;;;;;
25;для слабослышащих и позднооглохших;2;1;1;1;;;
26;для слепых;6;;;;;;
27;для слабовидящих;8;;;;;;
28;с тяжелыми нарушениями речи;;;;;;;
29;с нарушениями опорно-двигательного аппарата;;;;;;;
30;с задержкой психического развития;7;;;;;;
31;с расстройствами аутистического спектра;;;;;;;
32;Программы образования обучающихся с умственной отсталостью (интеллектуальными нарушениями);13971;90;5;747;;3;
33;Справочно. Код по ОКЕИ: человек – 792  Из общей численности обучающихся (из графы 3 подраздела 1.3.) – лица, имеющие кохлеарные импланты и обучающиеся по программам:    начального общего образования (из строки 02);41;;;;;;
34;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;15;;;;;;
35;основного общего образования (из строки 12);34;;;;;;
36;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;12;;;;;;
37;среднего общего образования (из строки 22);7;;;;;;
38;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;;;;;;;
39;образования обучающихся с умственной отсталостью    (интеллектуальными нарушениями) (из строки 32);47;;;;;;
40;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;17;;;;;;
