;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);21102;8083;9095;2857;156;255;55;601;808;20599;355;148
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;709;318;329;20;17;9;;16;5;704;;5
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;108;36;60;8;;1;;3;4;103;;5
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;232;152;80;;;;;;;232;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;17751;7639;8390;837;132;223;6;524;227;17718;26;7
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;299;129;131;14;2;5;;18;3;290;3;6
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;126;80;44;2;;;;;2;126;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;799;;13;784;;1;1;;46;739;54;6
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;561;;4;553;;;4;;16;543;7;11
10;в связи с переходом на семейное образование и самообразование;376;108;191;58;7;1;;11;11;368;6;2
11;по болезни;18;1;;16;;;;1;10;6;7;5
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;198;;43;154;;;;1;94;114;58;26
13;выбыло по другим причинам;690;17;125;435;;21;44;48;399;407;197;86
