;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;962
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;945
3;Коллегиальные органы управления;869
4;в том числе:       общее собрание;805
5;педагогический совет;866
6;попечительский совет;63
7;управляющий совет;418
8;наблюдательный совет;24
9;другие;144
10;Советы обучающихся;759
11;Советы родителей;768
12;Профессиональные союзы работников;586
13;из строки 03 с участием общественности (родителей, работодателей);600
14;Организация реализует профориентационный минимум;780
15;в том числе:       на базовом уровне;495
16;на основном уровне;348
17;на продвинутом уровне;11
