;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11
№ строки;Наименование показателя;Всего  (сумма граф 4–10);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);10286;251;3041;6828;5;25;81;55;4862
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;487;12;97;373;4;1;;;107
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;360;4;27;324;4;1;;;94
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;29;2;5;22;;;;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;1192;160;554;469;;8;;1;136
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;76;1;54;17;;3;;1;3
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;;;;;;;;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;685;;89;588;;1;7;;148
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;308;;40;265;;;3;;71
10;в связи с переходом на семейное образование и самообразование;181;1;71;109;;;;;20
11;по болезни;31;;6;23;;;2;;13
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;398;;30;364;;;4;;264
13;выбыло по другим причинам;7004;78;2154;4637;1;15;65;54;4103
