;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11
№ строки;Наименование показателя;Всего  (сумма граф 4–10);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);27270;651;7060;19419;23;5;62;50;14397
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;320;;189;128;1;;;2;87
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;152;;83;66;1;;;2;64
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;4;;3;1;;;;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;2843;438;1193;1193;;4;4;11;748
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;105;1;55;49;;;;;31
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;;;;;;;;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;1781;;649;1122;;;10;;396
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;697;;58;637;;;2;;160
10;в связи с переходом на семейное образование и самообразование;195;3;97;93;;1;;1;24
11;по болезни;72;1;16;52;;;2;1;45
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;401;1;123;275;;;2;;270
13;выбыло по другим причинам;20961;208;4735;15919;22;;42;35;12667
