;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11
№ строки;Наименование показателей;Численность обучающихся по программам начального общего образования - всего (1–4 классы;Численность обучающихся по программам из них девочки;Численность обучающихся по программам из них обучающиеся 1-х классов без оставленных на повторное обучение;Численность обучающихся по программам основного общего образования - всего (5–9 классы);Численность обучающихся по программам из них девочки;Численность обучающихся по программам из них обучающиеся 5-х классов без оставленных на повторное обучение;Численность обучающихся по программам среднего общего образования - всего (10–11(12) классы;Численность обучающихся по программам из них девочки;Численность обучающихся по программам из них обучающиеся 10-х классов без оставленных на повторное обучение
1;Всего;491;188;78;17768;4678;454;50350;13518;20658
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;;;;;;;;;
3;6 лет;;;;;;;;;
4;7 лет;30;12;26;;;;;;
5;8 лет;45;21;5;;;;;;
6;9 лет;51;18;;;;;;;
7;10 лет;39;12;1;16;9;14;;;
8;11 лет;19;11;1;79;35;72;;;
9;12 лет;6;2;;150;76;40;;;
10;13 лет;7;2;;303;94;10;2;;2
11;14 лет;2;2;;865;288;6;6;3;6
12;15 лет;1;1;;2966;984;2;506;280;451
13;16 лет;1;;;2578;809;5;4545;2217;3618
14;17 лет;;;;1720;435;6;6045;2960;2288
15;18 лет;3;;;939;298;8;3957;1865;1124
16;19 лет;7;4;;661;172;4;2474;870;886
17;20 лет;11;3;;618;152;9;2394;610;964
18;21 год;12;4;2;575;135;14;2487;478;927
19;22 года;14;3;2;556;117;23;2580;382;851
20;23 года;13;5;;483;96;14;2431;340;936
21;24 года;22;6;1;517;95;16;2416;293;948
22;25 лет;18;5;4;457;62;19;2506;266;942
23;26 лет;15;5;3;453;73;19;2353;279;919
24;27 лет;22;10;2;499;73;16;2165;205;854
25;28 лет;22;4;3;479;64;14;2332;236;930
26;29 лет;14;4;4;513;79;16;2302;275;892
27;30–34 года;51;26;13;1184;235;37;5002;912;1755
28;35–39 лет;32;18;4;612;140;36;2113;493;783
29;40 лет и старше;34;10;7;545;157;54;1734;554;582
