;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11
№ строки;Наименование показателя;Всего  (сумма граф 4–10);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);1009016;391501;485961;108463;6481;5772;390;10448;8422
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;16677;6614;7595;1355;471;367;16;259;86
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;3360;1374;1461;187;138;116;1;83;15
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;2190;1379;803;8;;;;;2
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;882536;376294;437104;52012;5749;4095;103;7179;2108
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;19555;7809;9308;1327;357;259;8;487;30
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;6093;3857;2086;150;;;;;12
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;39277;147;16288;22071;;658;113;;427
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;31959;;10193;21519;;207;40;;452
10;в связи с переходом на семейное образование и самообразование;15592;5125;7100;2875;79;100;4;309;239
11;по болезни;301;61;66;107;6;7;6;48;31
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;744;5;400;285;;8;1;45;330
13;выбыло по другим причинам;21930;3255;7215;8239;176;330;107;2608;4749
