;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52
№ строки;Наименование показателя;Всего (сумма граф 4-47);Программы начального общего образования с нормативным сроком обучения 4 года 1-й класс;Программы начального общего образования с нормативным сроком обучения 4 года 2-й класс;Программы начального общего образования с нормативным сроком обучения 4 года 3-й класс;Программы начального общего образования с нормативным сроком обучения 4 года 4-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 1-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 1-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 1-й класс второго года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 2-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 2-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 2-й класс второго года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 3-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 3-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 3-й класс второго года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 4-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 4-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 4-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 5 лет 5-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 6-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 7-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 8-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 9-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс второго года обучения;Программы среднего общего образования с нормативным сроком освоения 2 года 10-й класс;Программы среднего общего образования с нормативным сроком освоения 2 года 11-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс первого года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс второго года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс первого года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс второго года обучения;Из общей численности обучающихся (из гр. 3): лица с ограниче- нными возможно- стями здоровья;Из общей численности обучающихся (из гр. 3): из них: инвалиды;Из общей численности обучающихся (из гр. 3): из них: дети-инвалиды;Из общей численности обучающихся (из гр. 3): инвалиды  (кроме учтенных в гр. 49);Из общей численности обучающихся (из гр. 3): дети-инвалиды  (кроме учтенных в гр. 50)
1;Число классов для глухих, ед.;1068;3;3;2;1;49;38;38;85;8;7;76;9;13;42;44;64;21;16;18;24;22;30;8;9;55;10;6;62;2;1;46;14;22;39;57;71;21;22;2;;;;4;4;;;;;
2;В них обучающихся, чел.;5562;13;15;11;6;256;195;202;466;50;25;382;48;46;213;220;348;120;90;110;115;115;176;34;44;282;59;34;336;14;4;229;73;111;199;303;359;111;108;5;;;;16;19;3755;209;3471;;
3;Число классов для слабослышащих и позднооглохших, ед.;1510;16;17;11;18;77;53;53;101;13;6;111;18;6;60;72;105;18;15;21;22;14;73;11;6;97;4;2;104;6;3;97;10;12;47;59;94;26;20;2;4;1;2;2;1;;;;;
4;В них обучающихся, чел.;8937;93;103;95;107;421;335;275;553;97;32;630;114;20;350;431;642;90;95;137;158;93;440;76;31;577;33;12;629;35;20;560;67;74;271;371;541;139;112;10;31;5;14;13;5;6604;332;5612;;
5;Число классов для слепых, ед.;300;4;6;4;4;12;8;7;21;1;3;19;1;4;14;10;14;2;5;3;4;6;15;;;17;1;;19;;;14;;;5;20;19;19;17;1;;;1;;;;;;;
6;В них обучающихся, чел:       cлепых;1334;11;14;16;19;63;26;32;110;1;9;85;9;29;67;45;67;18;39;18;31;32;57;;;76;1;;88;;;56;;;10;92;69;71;64;1;;;8;;;778;50;702;;
7;слабовидящих и поздноослепших;392;;7;5;;5;22;3;5;10;13;29;;7;24;9;10;;;;;;34;;;26;;;43;;;34;;;3;38;21;22;22;;;;;;;316;10;213;;
8;Число классов для слабовидящих и поздноослепших, ед.;1671;85;86;91;101;64;24;18;90;7;2;80;6;1;23;65;70;58;50;50;51;44;42;1;;82;1;;79;2;;91;3;1;35;68;82;49;62;3;;;2;1;1;;;;;
9;В них обучающихся, чел:       слабовидящих и поздноослепших;14069;963;965;979;1104;436;174;127;631;49;6;552;39;4;160;518;566;572;468;474;459;393;359;5;;690;15;;622;13;;696;29;11;228;531;667;220;313;19;;;8;2;2;9375;101;3123;;
10;cлепых;788;16;21;15;20;37;22;11;63;1;9;61;3;;18;51;51;9;4;4;7;5;25;;;54;;;57;;;65;3;1;18;31;45;30;30;1;;;;;;513;30;386;;
11;Число классов для обучающихся с тяжелыми нарушениями речи, ед.;1784;184;186;178;176;28;85;68;76;11;;64;9;;70;12;1;55;44;48;40;39;65;1;;70;1;;67;2;;60;4;3;19;52;59;4;3;;;;;;;;;;;
